year,state,party_detailed,percent_votes
1992,FLORIDA,REPUBLICAN,0.4090249693604387
1992,FLORIDA,DEMOCRAT,0.3899012156452978
1996,FLORIDA,DEMOCRAT,0.4802557119781926
1996,FLORIDA,REPUBLICAN,0.42324548749668595
2000,FLORIDA,REPUBLICAN,0.4884682657204043
2000,FLORIDA,DEMOCRAT,0.48837821204036147
2004,FLORIDA,REPUBLICAN,0.5209751623233695
2004,FLORIDA,DEMOCRAT,0.4709111002771423
2008,FLORIDA,DEMOCRAT,0.5103330527066491
2008,FLORIDA,REPUBLICAN,0.4821531916597622
2012,FLORIDA,DEMOCRAT,0.5000786506869869
2012,FLORIDA,REPUBLICAN,0.49130977761975525
2016,FLORIDA,REPUBLICAN,0.49021941416590736
2016,FLORIDA,DEMOCRAT,0.4782331580580505
2020,FLORIDA,DEMOCRAT,0.47861450725442234
2020,FLORIDA,REPUBLICAN,0.5121981962250404
